element_type,ep_next,ep_this,event_points,form,id,now_cost,points_per_game,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance
DEF,1.0,1.5,1,1.5,120,4.5,2.3,6.5,a,Brighton,36,16,0.3,3.6,Dunk,615,0,0,2,10,0,0,0,2,0,0,0,84,116.6,60.6,14.0,19.1,7,0.16,0.29,0.45,11.37,111,134,240,155,0.02,0.0,0.04,0.06,1.66,1.46,1.02,0.29,Defender,0.0,3.5555555555555554,-0.45
MID,0.3,0.8,1,0.8,121,5.4,1.0,0.1,a,Brighton,36,5,0.1,0.9,Enciso,75,0,0,0,0,0,0,0,0,0,0,0,22,16.4,43.6,20.0,7.9,0,0.16,0.15,0.31,0.58,332,176,219,280,0.19,0.0,0.18,0.37,0.7,0.0,0.0,0.0,Midfielder,0.0,0.9259259259259258,-0.31
DEF,-0.3,0.2,1,0.2,122,5.0,0.5,0.5,a,Brighton,36,2,0.0,0.4,Estupiñan,234,0,0,0,6,0,0,0,1,0,0,0,11,41.8,97.0,22.0,16.2,2,0.06,0.35,0.41,7.05,258,76,211,189,0.02,0.0,0.13,0.15,2.71,2.31,0.77,0.0,Defender,0.0,0.4,-0.41
FWD,0.3,0.8,0,0.8,123,5.5,1.0,0.3,a,Brighton,36,3,0.1,0.5,Ferguson,22,0,0,0,0,0,0,0,0,0,0,0,7,0.2,0.6,6.0,0.6,0,0.11,0.00,0.11,0.07,420,379,312,407,0.45,0.0,0.0,0.45,0.29,0.0,0.0,0.0,Forward,0.0,0.5454545454545454,-0.11
MID,3.5,4.0,2,4.0,126,5.0,3.3,0.2,a,Brighton,36,23,0.8,4.6,Hinshelwood,606,1,0,2,10,0,0,0,1,0,0,3,98,84.4,101.4,54.0,24.1,7,0.38,0.63,1.01,11.23,163,68,129,114,0.06,0.0,0.09,0.15,1.67,1.49,1.04,0.3,Midfielder,1.0,4.6,-0.010000000000000009
DEF,-0.3,0.2,0,0.2,128,4.4,0.5,0.1,a,Brighton,36,1,0.0,0.2,Igor,114,0,0,0,2,0,0,0,1,0,0,0,13,14.0,3.1,0.0,1.7,0,0.00,0.02,0.02,1.58,345,346,477,383,0.0,0.0,0.02,0.02,1.25,1.58,0.0,0.0,Defender,0.0,0.22727272727272727,-0.02
DEF,-0.5,0.0,0,0.0,131,4.5,0.0,0.2,a,Brighton,36,0,0.0,0.0,Lamptey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,542,537,514,546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
MID,-0.4,0.0,0,0.0,132,6.5,0.0,0.0,d,Brighton,36,0,0.0,0.0,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,661,662,662,662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0
MID,-0.4,0.0,0,0.0,134,5.0,1.7,0.1,d,Brighton,36,5,0.0,1.0,Milner,169,0,0,1,1,0,0,0,1,0,0,0,24,28.6,66.3,12.0,10.7,3,0.16,0.15,0.31,1.98,293,121,256,250,0.09,0.0,0.08,0.17,1.05,0.53,1.6,0.53,Midfielder,0.0,1.0,-0.31
MID,2.3,2.8,7,2.8,135,5.4,3.0,1.1,a,Brighton,36,21,0.5,3.9,Minteh,405,1,2,1,5,0,0,0,2,0,0,0,74,90.2,129.2,107.0,32.6,5,0.83,1.20,2.03,5.09,153,42,61,63,0.18,0.0,0.27,0.45,1.13,1.11,1.11,0.22,Midfielder,3.0,3.888888888888889,0.9700000000000002
