date,time,week,home_team,home_xg,score,away_xg,away_team
2024-10-26,15:00,9,https://resources.premierleague.com/premierleague/badges/70/t7.png,1.8,1–1,0.3,https://resources.premierleague.com/premierleague/badges/70/t91.png
2024-10-26,15:00,9,https://resources.premierleague.com/premierleague/badges/70/t94.png,4.0,4–3,1.3,https://resources.premierleague.com/premierleague/badges/70/t40.png
2024-10-26,15:00,9,https://resources.premierleague.com/premierleague/badges/70/t36.png,1.3,2–2,1.3,https://resources.premierleague.com/premierleague/badges/70/t39.png
2024-10-26,17:30,9,https://resources.premierleague.com/premierleague/badges/70/t11.png,0.8,1–1,1.2,https://resources.premierleague.com/premierleague/badges/70/t54.png
2024-10-26,15:00,9,https://resources.premierleague.com/premierleague/badges/70/t43.png,2.9,1–0,0.2,https://resources.premierleague.com/premierleague/badges/70/t20.png
2024-10-27,16:30,9,https://resources.premierleague.com/premierleague/badges/70/t3.png,0.9,2–2,0.8,https://resources.premierleague.com/premierleague/badges/70/t14.png
2024-10-27,14:00,9,https://resources.premierleague.com/premierleague/badges/70/t8.png,1.6,2–1,1.8,https://resources.premierleague.com/premierleague/badges/70/t4.png
2024-10-27,14:00,9,https://resources.premierleague.com/premierleague/badges/70/t31.png,0.8,1–0,0.7,https://resources.premierleague.com/premierleague/badges/70/t6.png
2024-10-27,14:00,9,https://resources.premierleague.com/premierleague/badges/70/t21.png,2.8,2–1,2.3,https://resources.premierleague.com/premierleague/badges/70/t1.png
2024-11-02,15:00,10,https://resources.premierleague.com/premierleague/badges/70/t91.png,2.0,2–1,1.6,https://resources.premierleague.com/premierleague/badges/70/t43.png
2024-11-02,15:00,10,https://resources.premierleague.com/premierleague/badges/70/t40.png,1.0,1–1,1.5,https://resources.premierleague.com/premierleague/badges/70/t13.png
2024-11-02,15:00,10,https://resources.premierleague.com/premierleague/badges/70/t14.png,1.6,2–1,1.0,https://resources.premierleague.com/premierleague/badges/70/t36.png
2024-11-02,12:30,10,https://resources.premierleague.com/premierleague/badges/70/t4.png,0.5,1–0,1.1,https://resources.premierleague.com/premierleague/badges/70/t3.png
2024-11-02,15:00,10,https://resources.premierleague.com/premierleague/badges/70/t17.png,2.2,3–0,0.1,https://resources.premierleague.com/premierleague/badges/70/t21.png
2024-11-02,15:00,10,https://resources.premierleague.com/premierleague/badges/70/t20.png,0.7,1–0,1.6,https://resources.premierleague.com/premierleague/badges/70/t11.png
2024-11-02,17:30,10,https://resources.premierleague.com/premierleague/badges/70/t39.png,1.5,2–2,2.4,https://resources.premierleague.com/premierleague/badges/70/t31.png
