ID,Name,Team,Pos,Price,16_pts,17_pts,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts,26_pts,27_pts,28_pts,29_pts,30_pts,31_pts,32_pts,33_pts,34_pts,35_pts,36_pts,37_pts,38_pts,tba_pts
609,Lankshear,TOT,FWD,4.5,0.2688,0.18231,0.21483,0.22579,0.21169,0.16709,0.21841,0.23659,0.21407,0.20935,0.21652,0.18239,0.2186,0.21819,0.19261,0.23513,0.23773,0.22271,0.17134,0.23383,0.22588,0.19838,0.20663,0
610,Moore,TOT,MID,4.5,0,0,0.01661,0.01787,0.61022,0.64387,0.75066,0.82697,0.79243,0.76813,0.73939,0.72969,0.80665,0.78065,0.74361,0.81369,0.81159,0.80734,0.70448,0.81386,0.80911,0.7505,0.77,0
611,Szmodics,IPS,MID,5.8,1.99973,2.01219,1.71697,1.93302,1.93152,1.95943,1.82085,1.71858,2.05534,1.86438,1.94817,1.91606,1.92171,2.03526,1.84428,2.09774,1.83796,1.79513,1.8564,1.87279,2.02578,2.02846,2.09207,0
612,Odobert,TOT,MID,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,Collyer,MUN,MID,4.5,0.01982,0.0223,0.02273,0.02204,0.01942,0.02248,0.02128,0.02174,0.02228,0.02159,0.02138,0.02155,0.01999,0.02308,0.02115,0.02006,0.02094,0.02269,0.02074,0.02215,0.02256,0.02065,0.02111,0
614,Metcalfe,EVE,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,Rushworth,BHA,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,Nelson,LEI,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,Evanilson,BOU,FWD,6.1,2.57897,2.38959,2.56854,2.4085,2.60388,2.23154,2.27303,2.55069,2.26141,2.76809,2.58064,2.33465,2.32837,2.54433,2.4974,2.51833,2.42828,2.41442,2.45103,2.05231,2.41989,2.10432,2.66145,0
618,Georginio,BHA,MID,5.6,2.20489,2.27165,2.23754,2.09674,1.96113,2.12642,2.15377,2.25533,2.10918,2.13862,2.489,2.26384,2.12485,1.97378,2.1715,2.15209,2.4382,2.24106,2.32745,2.24332,2.308,2.03722,2.16344,0
619,Cajuste,IPS,MID,4.5,1.64322,1.58997,1.42358,1.51292,1.57461,1.53498,1.46279,1.4274,1.61597,1.5175,1.53634,1.56622,1.58223,1.6045,1.51008,1.62414,1.50371,1.46338,1.52411,1.55964,1.59522,1.66722,1.61421,0
620,Sosa,NFO,MID,5.5,1.27551,1.33513,1.28479,1.25462,1.39144,1.20944,1.37545,1.23108,1.29579,1.30619,1.24136,1.1685,1.18681,1.25744,1.27452,1.24866,1.3631,1.29681,1.35147,1.29722,1.48019,1.37959,1.27388,0
621,"João Félix",CHE,MID,6,1.5644,1.35875,1.42123,1.37066,1.38292,1.52505,1.58945,1.23428,1.58698,1.34375,1.33992,1.53367,1.68327,1.17623,1.42578,1.46354,1.50954,1.40568,1.51573,1.32395,1.32109,1.40209,1.34914,0
